path,extension,size_bytes,size_mb,shape,dtype,read_error
SSL_models/combined_unique_20260529_231637_bs16_mr0.35_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_231741_bs16_mr0.25_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_232939_bs16_mr0.15_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_232939_reconstructions.png,.png,1126955,1.07,,,
SSL_models/combined_unique_20260529_232939_training_curves.png,.png,299504,0.29,,,
SSL_models/combined_unique_20260529_233111_bs16_mr0.35_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_233111_reconstructions.png,.png,1166223,1.11,,,
SSL_models/combined_unique_20260529_233111_training_curves.png,.png,301337,0.29,,,
SSL_models/combined_unique_20260529_233203_bs16_mr0.25_ps1024_best.pth,.pth,22631893,21.58,,,
SSL_models/combined_unique_20260529_233203_reconstructions.png,.png,1031007,0.98,,,
SSL_models/combined_unique_20260529_233203_training_curves.png,.png,304293,0.29,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,.pth,22641794,21.59,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084533_reconstructions.png,.png,1119583,1.07,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084533_training_curves.png,.png,288147,0.27,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,.pth,22641794,21.59,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084611_reconstructions.png,.png,1076259,1.03,,,
SSL_models/combined_unique_WS625to680Zero_20260601_084611_training_curves.png,.png,291764,0.28,,,
SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,.pth,22641794,21.59,,,
SSL_models/combined_unique_WS625to680Zero_20260601_085340_reconstructions.png,.png,988479,0.94,,,
SSL_models/combined_unique_WS625to680Zero_20260601_085340_training_curves.png,.png,282953,0.27,,,
SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,.pth,22641794,21.59,,,
SSL_models/combined_unique_WS625to680Zero_20260601_091005_reconstructions.png,.png,1034113,0.99,,,
SSL_models/combined_unique_WS625to680Zero_20260601_091005_training_curves.png,.png,284620,0.27,,,
SSL_models/contrastive_best_20251009_233235.pth,.pth,20797774,19.83,,,
SSL_models/nmr_cosLR_100epoch_8k_2025-09-22_01-52-23.pth,.pth,20469663,19.52,,,
SSL_models/nmr_cosineLR_100epoch_with_val_2025-09-22_01-53-51.pth,.pth,20472293,19.52,,,
SSL_models/nmr_encoder_20251009_233235.pth,.pth,6938930,6.62,,,
SSL_models/nmr_mae_20250928_004449_bs32_mr0.15_ps512_20250928_010650_best.pth,.pth,212025754,202.20,,,
SSL_models/nmr_mae_20250928_012139_bs32_mr0.15_ps512_20250928_012139_best.pth,.pth,212025754,202.20,,,
SSL_models/nmr_mae_20250928_062123_bs32_mr0.15_ps512_20250928_062123_best.pth,.pth,212025754,202.20,,,
SSL_models/nmr_mae_20250928_064900_bs32_mr0.15_ps512_20250928_064900_best.pth,.pth,212025754,202.20,,,
SSL_models/nmr_mae_20250928_071751_bs32_mr0.25_ps2048_20250928_071751_best.pth,.pth,225807181,215.35,,,
SSL_models/nmr_mae_20250928_072620_bs32_mr0.25_ps2048_20250928_072620_best.pth,.pth,225807181,215.35,,,
SSL_models/nmr_mae_20250928_091820_bs32_mr0.25_ps2048_20250928_091820_best.pth,.pth,225807181,215.35,,,
SSL_models/nmr_mae_20250928_094646_bs32_mr0.25_ps2048_20250928_094646_best.pth,.pth,225807181,215.35,,,
SSL_models/nmr_mae_20250928_102535_bs32_mr0.25_ps2048_20250928_102535_best.pth,.pth,225807181,215.35,,,
SSL_models/nmr_mae_v2_20251009_141540_bs32_mr0.40_ps512_20251009_141540_best.pth,.pth,29611379,28.24,,,
SSL_models/nmr_mae_v2_20251009_150517_bs64_mr0.15_ps256_20251009_150517_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251009_225158_bs64_mr0.15_ps256_20251009_225158_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251009_225655_bs64_mr0.15_ps256_20251009_225655_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251023_150253_bs64_mr0.15_ps256_20251023_150253_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251023_151256_bs64_mr0.15_ps256_20251023_151256_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251023_153350_bs64_mr0.15_ps256_20251023_153350_best.pth,.pth,6098931,5.82,,,
