lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
217,6944,0.6357421875,0.5519539012917348,0.6489422312319334,0.03838807695199587
218,6976,0.638671875,0.5521520686526749,0.6488348933776925,0.041914823214332
219,7008,0.6416015625,0.5527659193318066,0.6487375201937172,0.04652861648285499
220,7040,0.64453125,0.5533215369668264,0.6488297788450929,0.04877226127151748
221,7072,0.6474609375,0.5535544364731062,0.6490100424120138,0.047935884325630035
222,7104,0.650390625,0.5533290986333537,0.6486199725313601,0.04764550745783207
223,7136,0.6533203125,0.5526876993036968,0.648796036465337,0.047400834249710914
224,7168,0.65625,0.550921414107704,0.6487512707523255,0.047294790875016125
225,7200,0.6591796875,0.5499652769377584,0.6486239112359632,0.04765608217878546
226,7232,0.662109375,0.5495632646670843,0.6487908028285727,0.047518710348580614
227,7264,0.6650390625,0.5499411462603967,0.6489304080862996,0.04734456315644862
228,7296,0.66796875,0.5506462282606709,0.6492192501980514,0.04796305053162943
229,7328,0.6708984375,0.5514167076802686,0.6496434884226291,0.0489675630266066
230,7360,0.673828125,0.5516946781575265,0.6489357687425368,0.05088000928611119
231,7392,0.6767578125,0.5514228407087463,0.647881783583114,0.052884692411838956
232,7424,0.6796875,0.5521109783823112,0.6476278655482525,0.05682521324318785
233,7456,0.6826171875,0.5521574877593761,0.6468751785169856,0.06089900379464987
234,7488,0.685546875,0.5513706773035156,0.6463149401323129,0.06275669826525565
235,7520,0.6884765625,0.5512079995267215,0.6452797065582938,0.06529091796198068
236,7552,0.69140625,0.5522361505248218,0.6446206298752161,0.0709800000498502
237,7584,0.6943359375,0.5533046874004967,0.6436803668321764,0.0736142681804597
238,7616,0.697265625,0.5540388438273812,0.6428607343264773,0.074190920482137
239,7648,0.7001953125,0.5550175172465933,0.6422540369745906,0.07747410717532781
240,7680,0.703125,0.5562291921022866,0.6420555771291959,0.08572237163864904
241,7712,0.7060546875,0.5562363773865726,0.6421705225568368,0.08919659157907768
242,7744,0.708984375,0.5560557450242953,0.6422685933876918,0.08773796946075124
