row,votes,corr_to_median,pca_resid,iso_score
7926,1,0.20119673,0.29392794,0.5556142682145604
9283,1,0.048770115,0.29365987,0.5895900301080407
2638,1,0.16613507,0.29292035,0.5524115144739091
1281,1,0.5284697,0.29282954,0.550562609930571
9318,1,0.049451,0.29074678,0.5676786193638937
184,1,0.033605427,0.29014727,0.4733649813126779
157,1,0.03565459,0.28960264,0.4511732720597364
9238,1,0.060339145,0.28835386,0.5828862988792418
9323,1,0.06021349,0.2873441,0.5863472020652444
459,1,0.014945094,0.28711292,0.47986593989004944
9532,1,0.25656307,0.2851724,0.5518362750895929
8010,1,0.46634752,0.2840909,0.555096432548599
450,1,0.030256934,0.2836645,0.45379771870275665
9415,1,0.05859942,0.28358418,0.571670223575641
9319,1,0.04280808,0.2808718,0.5944489433304896
9305,1,0.04688342,0.27897444,0.5938145372032518
