corpus_row,acqu_SW,proc_OFFSET,source
433,11.9877540426485,,workbench
434,11.9877540426485,,workbench
435,11.9877539559497,10.8098740931683,serum
436,11.9877539559497,10.8098740931683,serum
437,11.9877540426485,,workbench
438,20.0306216932426,14.6936283112343,serum
439,11.9877539997997,10.806727446786,serum
440,11.9877539997997,10.806727446786,serum
441,20.0306216932426,14.6945934295243,serum
442,20.0306216932426,14.6940479278077,serum
443,11.9877539798725,10.8075270493138,serum
444,11.9877539798725,10.8075270493138,serum
445,20.0306216932426,14.6943674094845,serum
446,11.9877539958281,10.8060318662598,serum
447,11.9877539958281,10.8060318662598,serum
448,11.9877539811432,10.807994929201,serum
449,11.9877539811432,10.807994929201,serum
450,11.9877540426485,,workbench
451,20.0306216932426,14.6945133202804,serum
452,20.0306216932426,14.6946611409158,serum
453,20.0306217466538,14.6906642911539,serum
454,11.9877540426485,,workbench
455,11.9877540426485,,workbench
456,11.9877539840718,10.8161164343182,serum
457,11.9877539840718,10.8161164343182,serum
458,20.0306216932426,14.6937685006583,serum
459,11.9877540426485,,workbench
460,11.9877539958521,10.8055737572937,serum
461,11.9877539958521,10.8055737572937,serum
462,20.0306216932426,14.6942291266789,serum
463,11.9877540426485,,workbench
464,20.0306216932426,14.694752692903,serum
465,20.0306216932426,14.694568634009,serum
466,20.0306216932426,14.6958169942042,serum
467,20.0306216932426,14.6938228611722,serum
468,11.9877539791172,10.8082902314648,serum
469,11.9877539791172,10.8082902314648,serum
470,20.0306216932426,14.6927213666971,serum
471,20.0306216932426,14.6945457453017,serum
472,20.0306216932426,14.6938152314769,serum
473,11.9877540426485,,workbench
474,11.9877539808195,10.8077487111386,serum
475,11.9877539808195,10.8077487111386,serum
476,20.0306217466538,14.6908626558442,serum
477,11.9877540049544,10.808343838932,serum
478,11.9877540049544,10.808343838932,serum
479,11.9877540426485,,workbench
480,11.9877539945454,10.8093224963128,serum
481,11.9877539945454,10.8093224963128,serum
482,20.0306216932426,14.693864822318,serum
483,20.0306216932426,14.6946611409158,serum
484,11.9877539811791,10.8094991295795,serum
485,11.9877539811791,10.8094991295795,serum
486,20.0306216932426,14.6948013303402,serum
487,20.0306216932426,14.6935071942488,serum
488,11.9877540426485,,workbench
489,20.0306216932426,14.694718361263,serum
490,20.0306216932426,14.6933345798036,serum
491,11.9877540426485,,workbench
492,20.0306216932426,14.693790436151,serum
493,20.0306216932426,14.6940994267833,serum
494,11.9877540426485,,workbench
495,11.9877539771752,10.8081843514501,serum
496,11.9877539771752,10.8081843514501,serum
497,11.9877540008067,10.8070017560604,serum
