row,block,study,lag
542,12,AMBIGUOUS: MTBLS147,-756
543,12,AMBIGUOUS: MTBLS147,-751
544,10,unassigned,7044
545,10,unassigned,7044
546,12,AMBIGUOUS: MTBLS147,-762
547,12,AMBIGUOUS: MTBLS147,-761
548,12,AMBIGUOUS: MTBLS147,-760
549,8,unassigned,4305
550,8,unassigned,4305
551,12,AMBIGUOUS: MTBLS147,-762
552,12,AMBIGUOUS: MTBLS147,-762
553,12,AMBIGUOUS: MTBLS147,-765
554,12,AMBIGUOUS: MTBLS147,-759
555,12,AMBIGUOUS: MTBLS147,-758
556,12,AMBIGUOUS: MTBLS147,-766
557,12,AMBIGUOUS: MTBLS147,-765
558,11,unassigned,-2884
559,21,unassigned,1396
560,16,unassigned,5504
561,16,unassigned,5504
562,16,unassigned,5501
563,16,unassigned,5501
564,10,unassigned,6974
565,10,unassigned,6974
566,12,AMBIGUOUS: MTBLS147,-753
567,16,unassigned,5500
568,16,unassigned,5500
569,12,AMBIGUOUS: MTBLS147,-763
570,33,unassigned,-2378
571,12,AMBIGUOUS: MTBLS147,-764
572,34,AMBIGUOUS: MTBLS395,-786
573,10,unassigned,7040
574,10,unassigned,7040
575,10,unassigned,6998
576,10,unassigned,6998
577,12,AMBIGUOUS: MTBLS147,-760
578,34,AMBIGUOUS: MTBLS395,-801
579,0,unassigned,2520
580,33,unassigned,-2373
581,8,unassigned,4107
582,12,AMBIGUOUS: MTBLS147,-762
583,12,AMBIGUOUS: MTBLS147,-758
584,12,AMBIGUOUS: MTBLS147,-747
585,12,AMBIGUOUS: MTBLS147,-760
586,12,AMBIGUOUS: MTBLS147,-768
587,7,unassigned,1338
588,12,AMBIGUOUS: MTBLS147,-760
589,12,AMBIGUOUS: MTBLS147,-755
590,12,AMBIGUOUS: MTBLS147,-758
591,12,AMBIGUOUS: MTBLS147,-763
592,16,unassigned,5537
593,16,unassigned,5537
594,10,unassigned,6971
595,10,unassigned,6971
596,12,AMBIGUOUS: MTBLS147,-757
597,12,AMBIGUOUS: MTBLS147,-759
598,29,unassigned,4537
599,10,unassigned,7002
600,10,unassigned,7002
601,16,unassigned,5574
602,16,unassigned,5574
603,12,AMBIGUOUS: MTBLS147,-758
604,12,AMBIGUOUS: MTBLS147,-760
605,8,unassigned,4295
606,8,unassigned,4295
607,10,unassigned,7008
608,10,unassigned,7008
609,12,AMBIGUOUS: MTBLS147,-755
610,12,AMBIGUOUS: MTBLS147,-762
611,12,AMBIGUOUS: MTBLS147,-758
612,16,unassigned,5503
613,16,unassigned,5503
614,24,unassigned,4934
615,24,unassigned,4934
616,12,AMBIGUOUS: MTBLS147,-758
617,16,unassigned,5497
618,16,unassigned,5497
619,12,AMBIGUOUS: MTBLS147,-763
620,12,AMBIGUOUS: MTBLS147,-764
621,12,AMBIGUOUS: MTBLS147,-753
622,16,unassigned,5508
623,16,unassigned,5508
624,16,unassigned,5497
625,16,unassigned,5497
626,12,AMBIGUOUS: MTBLS147,-753
627,12,AMBIGUOUS: MTBLS147,-750
628,12,AMBIGUOUS: MTBLS147,-764
629,12,AMBIGUOUS: MTBLS147,-755
630,12,AMBIGUOUS: MTBLS147,-665
631,12,AMBIGUOUS: MTBLS147,-755
632,10,unassigned,6980
633,10,unassigned,6980
634,10,unassigned,7040
635,10,unassigned,7040
636,11,unassigned,-2884
637,35,unassigned,7
638,34,AMBIGUOUS: MTBLS395,-621
639,34,AMBIGUOUS: MTBLS395,-790
640,10,unassigned,6969
641,10,unassigned,6969
642,12,AMBIGUOUS: MTBLS147,-758
643,12,AMBIGUOUS: MTBLS147,-755
644,34,AMBIGUOUS: MTBLS395,-584
645,12,AMBIGUOUS: MTBLS147,-765
646,12,AMBIGUOUS: MTBLS147,-753
647,8,unassigned,4291
648,8,unassigned,4291
649,12,AMBIGUOUS: MTBLS147,-783
650,12,AMBIGUOUS: MTBLS147,-755
651,12,AMBIGUOUS: MTBLS147,-755
652,10,unassigned,6993
653,10,unassigned,6993
654,12,AMBIGUOUS: MTBLS147,-755
655,12,AMBIGUOUS: MTBLS147,-757
656,12,AMBIGUOUS: MTBLS147,-760
657,29,unassigned,4542
658,12,AMBIGUOUS: MTBLS147,-759
659,12,AMBIGUOUS: MTBLS147,-755
660,16,unassigned,5539
661,16,unassigned,5539
662,12,AMBIGUOUS: MTBLS147,-758
663,12,AMBIGUOUS: MTBLS147,-753
664,12,AMBIGUOUS: MTBLS147,-757
665,10,unassigned,7045
666,10,unassigned,7045
667,12,AMBIGUOUS: MTBLS147,-759
668,12,AMBIGUOUS: MTBLS147,-761
669,12,AMBIGUOUS: MTBLS147,-780
670,8,unassigned,4290
671,8,unassigned,4290
672,16,unassigned,5485
673,16,unassigned,5485
674,12,AMBIGUOUS: MTBLS147,-760
675,29,unassigned,4531
676,12,AMBIGUOUS: MTBLS147,-765
677,21,unassigned,1362
678,12,AMBIGUOUS: MTBLS147,-757
679,12,AMBIGUOUS: MTBLS147,-761
680,12,AMBIGUOUS: MTBLS147,-753
681,34,AMBIGUOUS: MTBLS395,-797
682,12,AMBIGUOUS: MTBLS147,-761
683,36,unassigned,7197
684,36,unassigned,7197
685,33,unassigned,-2373
686,12,AMBIGUOUS: MTBLS147,-762
687,37,unassigned,-584
688,11,unassigned,-2869
689,32,unassigned,-1608
690,12,AMBIGUOUS: MTBLS147,-754
691,34,AMBIGUOUS: MTBLS395,-782
692,12,AMBIGUOUS: MTBLS147,-760
693,34,AMBIGUOUS: MTBLS395,-619
694,12,AMBIGUOUS: MTBLS147,-762
695,12,AMBIGUOUS: MTBLS147,-786
696,12,AMBIGUOUS: MTBLS147,-757
697,8,unassigned,4288
698,8,unassigned,4288
699,12,AMBIGUOUS: MTBLS147,-754
700,12,AMBIGUOUS: MTBLS147,-761
701,12,AMBIGUOUS: MTBLS147,-741
702,16,unassigned,5502
703,16,unassigned,5502
704,32,unassigned,-1607
705,34,AMBIGUOUS: MTBLS395,-682
706,8,unassigned,4285
707,8,unassigned,4285
708,12,AMBIGUOUS: MTBLS147,-763
709,12,AMBIGUOUS: MTBLS147,-756
710,12,AMBIGUOUS: MTBLS147,-774
711,12,AMBIGUOUS: MTBLS147,-753
712,34,AMBIGUOUS: MTBLS395,-557
713,34,AMBIGUOUS: MTBLS395,-791
714,12,AMBIGUOUS: MTBLS147,-763
715,34,AMBIGUOUS: MTBLS395,-617
716,29,unassigned,4553
717,12,AMBIGUOUS: MTBLS147,-761
718,12,AMBIGUOUS: MTBLS147,-764
719,12,AMBIGUOUS: MTBLS147,-757
720,12,AMBIGUOUS: MTBLS147,-760
721,12,AMBIGUOUS: MTBLS147,-756
722,29,unassigned,4547
723,12,AMBIGUOUS: MTBLS147,-764
724,32,unassigned,-1607
725,12,AMBIGUOUS: MTBLS147,-788
726,10,unassigned,7053
727,10,unassigned,7053
728,12,AMBIGUOUS: MTBLS147,-758
729,12,AMBIGUOUS: MTBLS147,-754
730,10,unassigned,6980
731,10,unassigned,6980
732,16,unassigned,5541
733,16,unassigned,5541
734,12,AMBIGUOUS: MTBLS147,-749
735,10,unassigned,6981
736,10,unassigned,6981
737,12,AMBIGUOUS: MTBLS147,-757
738,12,AMBIGUOUS: MTBLS147,-758
739,12,AMBIGUOUS: MTBLS147,-756
740,12,AMBIGUOUS: MTBLS147,-758
741,10,unassigned,6803
742,34,AMBIGUOUS: MTBLS395,-646
743,34,AMBIGUOUS: MTBLS395,-562
744,34,AMBIGUOUS: MTBLS395,-791
745,12,AMBIGUOUS: MTBLS147,-770
746,12,AMBIGUOUS: MTBLS147,-749
747,16,unassigned,5502
748,16,unassigned,5502
749,12,AMBIGUOUS: MTBLS147,-781
750,10,unassigned,6972
751,10,unassigned,6972
752,12,AMBIGUOUS: MTBLS147,-759
753,10,unassigned,6978
754,10,unassigned,6978
755,12,AMBIGUOUS: MTBLS147,-760
756,12,AMBIGUOUS: MTBLS147,-753
757,34,AMBIGUOUS: MTBLS395,-787
758,34,AMBIGUOUS: MTBLS395,-565
759,12,AMBIGUOUS: MTBLS147,-761
760,12,AMBIGUOUS: MTBLS147,-749
761,38,unassigned,7014
762,16,unassigned,5503
763,16,unassigned,5503
764,34,AMBIGUOUS: MTBLS395,-406
765,34,AMBIGUOUS: MTBLS395,-552
766,16,unassigned,5501
767,16,unassigned,5501
768,12,AMBIGUOUS: MTBLS147,-757
769,12,AMBIGUOUS: MTBLS147,-756
770,12,AMBIGUOUS: MTBLS147,-758
771,12,AMBIGUOUS: MTBLS147,-763
772,34,AMBIGUOUS: MTBLS395,-807
773,10,unassigned,6983
774,10,unassigned,6983
775,34,AMBIGUOUS: MTBLS395,-531
776,12,AMBIGUOUS: MTBLS147,-756
777,34,AMBIGUOUS: MTBLS395,-594
778,12,AMBIGUOUS: MTBLS147,-756
779,34,AMBIGUOUS: MTBLS395,-596
780,39,unassigned,6970
781,39,unassigned,6970
782,34,AMBIGUOUS: MTBLS395,-590
783,34,AMBIGUOUS: MTBLS395,-788
784,34,AMBIGUOUS: MTBLS395,-609
785,34,AMBIGUOUS: MTBLS395,-786
786,12,AMBIGUOUS: MTBLS147,-756
787,34,AMBIGUOUS: MTBLS395,-790
788,34,AMBIGUOUS: MTBLS395,-618
789,34,AMBIGUOUS: MTBLS395,-784
790,12,AMBIGUOUS: MTBLS147,-761
791,34,AMBIGUOUS: MTBLS395,-791
792,40,unassigned,-272
793,34,AMBIGUOUS: MTBLS395,-621
794,12,AMBIGUOUS: MTBLS147,-780
795,12,AMBIGUOUS: MTBLS147,-760
796,41,unassigned,7038
797,12,AMBIGUOUS: MTBLS147,-758
798,34,AMBIGUOUS: MTBLS395,-764
799,34,AMBIGUOUS: MTBLS395,-616
800,12,AMBIGUOUS: MTBLS147,-782
801,12,AMBIGUOUS: MTBLS147,-784
802,34,AMBIGUOUS: MTBLS395,-789
803,10,unassigned,7044
804,10,unassigned,7044
805,12,AMBIGUOUS: MTBLS147,-757
806,12,AMBIGUOUS: MTBLS147,-763
807,34,AMBIGUOUS: MTBLS395,-584
808,42,unassigned,7067
809,42,unassigned,7067
810,10,unassigned,7002
811,10,unassigned,7002
812,34,AMBIGUOUS: MTBLS395,-610
813,34,AMBIGUOUS: MTBLS395,-511
814,43,unassigned,4638
815,34,AMBIGUOUS: MTBLS395,-406
816,34,AMBIGUOUS: MTBLS395,-626
817,34,AMBIGUOUS: MTBLS395,-577
818,44,unassigned,7197
819,12,AMBIGUOUS: MTBLS147,-777
820,34,AMBIGUOUS: MTBLS395,-581
821,12,AMBIGUOUS: MTBLS147,-754
822,37,unassigned,-588
823,34,AMBIGUOUS: MTBLS395,-507
824,34,AMBIGUOUS: MTBLS395,-559
825,12,AMBIGUOUS: MTBLS147,-765
826,22,unassigned,7614
827,12,AMBIGUOUS: MTBLS147,-755
828,12,AMBIGUOUS: MTBLS147,-778
829,34,AMBIGUOUS: MTBLS395,-578
830,12,AMBIGUOUS: MTBLS147,-759
831,34,AMBIGUOUS: MTBLS395,-774
832,34,AMBIGUOUS: MTBLS395,-757
833,10,unassigned,6964
834,10,unassigned,6964
835,10,unassigned,6973
836,10,unassigned,6973
837,34,AMBIGUOUS: MTBLS395,-779
838,34,AMBIGUOUS: MTBLS395,-603
839,45,MTBLS798,15
840,12,AMBIGUOUS: MTBLS147,-780
841,12,AMBIGUOUS: MTBLS147,-754
842,12,AMBIGUOUS: MTBLS147,-762
843,34,AMBIGUOUS: MTBLS395,-789
844,34,AMBIGUOUS: MTBLS395,-508
