dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
MTBLS326,42,classical,xgboost,-,13,10,0.8892857142857142,0.09737192879370732,0.03079170751518468
MTBLS326,42,masking,mask_metabolights,frozen,2,10,0.7121538461538461,0.15790117499590928,0.04993273582039018
MTBLS326,42,masking,mask_metabolights,frozen,4,10,0.8077075098814228,0.04626410502333568,0.014629994578297811
MTBLS326,42,masking,mask_metabolights,frozen,6,10,0.8841269841269842,0.0745637630897474,0.023579132227679576
MTBLS326,42,masking,mask_metabolights,frozen,8,10,0.9473684210526315,0.05263157894736838,0.01664356663246514
MTBLS326,42,masking,mask_metabolights,frozen,10,10,0.8958823529411765,0.07031811059891105,0.022236539025218573
MTBLS326,42,masking,mask_metabolights,frozen,13,10,0.975,0.02410530563251971,0.0076227669493248084
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,2,10,0.6769230769230768,0.15859673926904003,0.050152692556603436
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,4,10,0.8164031620553359,0.06299668676271697,0.019921301521436494
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,6,10,0.8587301587301587,0.06313834450868275,0.01996609763398223
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,8,10,0.9368421052631579,0.05711866875824455,0.018062509019275426
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,10,10,0.89,0.06420183954888652,0.020302404294715855
MTBLS326,42,masking,mask_metabolights,unfreeze_last_1,13,10,0.9392857142857143,0.08426351604374471,0.02664646343523737
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,2,10,0.7003076923076923,0.14541296698186662,0.0459836176985559
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,4,10,0.8252964426877469,0.04974587422150912,0.015731026673622434
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,6,10,0.8714285714285713,0.05901309415279867,0.018661578929680844
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,8,10,0.9315789473684211,0.055755258182704194,0.01763136073880857
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,10,10,0.8811764705882353,0.0654326387909465,0.020691617189447703
MTBLS326,42,masking,mask_metabolights,unfreeze_last_2,13,10,0.95,0.04192099252775954,0.013256581816261956
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,2,10,0.7081538461538461,0.15846742997926752,0.050111801368773454
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,4,10,0.8385375494071147,0.06401216651182434,0.020242424413932057
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,6,10,0.8896825396825397,0.06506538327889086,0.020575480799312977
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,8,10,0.9394736842105262,0.048125848155597166,0.01521872944991005
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,10,10,0.8929411764705882,0.05984730024324595,0.01892537805806063
MTBLS326,42,masking,mask_metabolights,unfreeze_last_3,13,10,0.9642857142857142,0.041239304942116126,0.013041013273932525
MTBLS563,113,classical,logistic_regression,-,2,10,0.4772456364410386,0.05809277673929478,0.018370549009982112
MTBLS563,113,classical,logistic_regression,-,5,10,0.5301120448179271,0.06608202902585422,0.02089697241270572
MTBLS563,113,classical,logistic_regression,-,10,10,0.5530624568668048,0.09213084211871607,0.02913433038445158
MTBLS563,113,classical,logistic_regression,-,15,10,0.6020740946045825,0.05460415246514578,0.01726734914929586
MTBLS563,113,classical,logistic_regression,-,20,10,0.6206228956228956,0.08629216644749721,0.027287979020445177
MTBLS563,113,classical,logistic_regression,-,24,10,0.6592261904761905,0.1422530492473051,0.04498436397255852
MTBLS563,113,classical,svm_rbf,-,2,10,0.38070987654320987,0.05459284314100947,0.017263772826989078
MTBLS563,113,classical,svm_rbf,-,5,10,0.36802413273001505,0.02895269262723581,0.009155645309682953
MTBLS563,113,classical,svm_rbf,-,10,10,0.415454623878537,0.07089440250371527,0.022418778526848402
MTBLS563,113,classical,svm_rbf,-,15,10,0.45429600886917954,0.0380060086027715,0.012018555195671155
MTBLS563,113,classical,svm_rbf,-,20,10,0.44225589225589224,0.0729800083362988,0.023078305000077976
MTBLS563,113,classical,svm_rbf,-,24,10,0.44315476190476194,0.12555150445975885,0.0397028717753626
MTBLS563,113,classical,xgboost,-,2,10,0.3903522775649212,0.0387642491320955,0.012258331904362709
MTBLS563,113,classical,xgboost,-,5,10,0.44118724412842053,0.07131094633538874,0.0225505012521866
MTBLS563,113,classical,xgboost,-,10,10,0.4625043133195306,0.04051051419765063,0.012810549404916454
MTBLS563,113,classical,xgboost,-,15,10,0.5133453436807095,0.0623375095597592,0.019712851387135927
MTBLS563,113,classical,xgboost,-,20,10,0.5172558922558922,0.07335235979330576,0.023196052869500404
