mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.4,786,corpus_mean,0.5601966977119446,0.5190919041633606,0.652961790561676,0.4930347502231598,
0.4,786,linear_interp,0.6378675194244967,0.6791107693609398,0.6804109016424325,0.3957044463244367,
0.4,786,pca50_from_visible,0.9688090085983276,0.966866672039032,0.9755584001541138,0.3735232949256897,
0.4,786,nn_copy,0.9614049196243286,0.9620368480682373,0.9533123970031738,0.8278794288635254,7978.0
0.4,983,corpus_mean,0.4407573938369751,0.6750239729881287,0.5465571880340576,0.154942125082016,
0.4,983,linear_interp,0.5077647227174046,0.9445458441961879,-0.09259122907034908,0.7166739022883923,
0.4,983,pca50_from_visible,0.41135525703430176,0.8596040606498718,0.8735520839691162,0.11658323556184769,
0.4,983,nn_copy,0.9818724989891052,0.9808734655380249,0.9478533864021301,0.959314227104187,129.0
0.4,1179,corpus_mean,0.7923522591590881,0.645866870880127,0.6780245900154114,0.6569830179214478,
0.4,1179,linear_interp,0.6268186253140161,0.6421770273396413,0.6636716268846928,0.6605611431851123,
0.4,1179,pca50_from_visible,0.9756799340248108,0.978725254535675,0.9561252593994141,0.9436213374137878,
0.4,1179,nn_copy,0.9499810338020325,0.9539961218833923,0.9099023938179016,0.91732257604599,7748.0
0.4,1376,corpus_mean,0.8997716903686523,0.7136873602867126,0.8592515587806702,0.6759517192840576,
0.4,1376,linear_interp,0.38592264992638226,0.9564742747493234,-0.11966500979093858,0.5725527959403479,
0.4,1376,pca50_from_visible,0.6843660473823547,0.9623019695281982,0.6267219185829163,0.31080693006515503,
0.4,1376,nn_copy,0.8521303534507751,0.9759774804115295,0.6547452807426453,0.9064252376556396,2573.0
0.4,1572,corpus_mean,0.8263711333274841,0.6914072632789612,0.779699444770813,0.5527703762054443,
0.4,1572,linear_interp,0.5083486530410403,0.9325425359304547,0.05496808521911805,0.6772386418233846,
0.4,1572,pca50_from_visible,0.9237268567085266,0.9832716584205627,0.9350071549415588,0.6109874844551086,
0.4,1572,nn_copy,0.9689933657646179,0.9762210845947266,0.9238513708114624,0.9714845418930054,7132.0
0.4,1769,corpus_mean,0.788444459438324,0.6586565375328064,0.4779638350009918,0.6732383370399475,
0.4,1769,linear_interp,0.4784006418132397,0.8786492324360595,0.11057735827500619,0.4917064111678921,
0.4,1769,pca50_from_visible,0.9716653227806091,0.9927823543548584,0.926576554775238,0.9005684852600098,
0.4,1769,nn_copy,0.8913731575012207,0.9614977240562439,0.7012740969657898,0.891402006149292,915.0
0.4,1966,corpus_mean,0.8258923888206482,0.6383858323097229,0.6013447642326355,0.6806283593177795,
0.4,1966,linear_interp,0.5648914852709128,0.9036493577631856,0.36663582215111984,0.5651081654400292,
0.4,1966,pca50_from_visible,0.6815429925918579,0.8325902819633484,0.8078702092170715,0.28327757120132446,
0.4,1966,nn_copy,0.9538599252700806,0.9334146976470947,0.8346721529960632,0.9592969417572021,364.0
0.4,2162,corpus_mean,0.8225666284561157,0.7541383504867554,0.7706778645515442,0.8668721914291382,
0.4,2162,linear_interp,0.24253006580621905,0.7317304415412167,0.0632809285979015,0.5413995083513655,
0.4,2162,pca50_from_visible,0.8792699575424194,0.9428161382675171,0.8326146006584167,0.6806886792182922,
0.4,2162,nn_copy,0.9880794286727905,0.9838846921920776,0.9826651215553284,0.9788299202919006,424.0
0.4,2359,corpus_mean,0.7617456912994385,0.780558705329895,0.7656589150428772,0.5922989249229431,
0.4,2359,linear_interp,0.17107967680305283,0.4206386322685637,-0.38540279821392953,0.6821172944850467,
0.4,2359,pca50_from_visible,0.8682461977005005,0.8864198327064514,0.8185977339744568,0.5088685750961304,
0.4,2359,nn_copy,0.8228811025619507,0.8507474660873413,0.7333558797836304,0.9106836318969727,4582.0
0.4,2555,corpus_mean,0.7942674160003662,0.797879695892334,0.8055502772331238,0.7697381377220154,
0.4,2555,linear_interp,0.10548293262016328,0.7721824490767846,-0.0545368608588063,0.30748414473962843,
0.4,2555,pca50_from_visible,0.710873007774353,0.9092452526092529,0.582718014717102,0.7571991682052612,
0.4,2555,nn_copy,1.0,1.0,1.0,1.0,0.0
0.4,2752,corpus_mean,0.9128943085670471,0.7346906065940857,0.9087978005409241,0.5324738621711731,
0.4,2752,linear_interp,0.4042475747465915,0.9522384950597425,-0.1589927074834353,0.44901049316684083,
