row_index,status,peak_index,peak_value,baseline,noise_sd,prominence,prominence_snr,dominance_ratio,left_index,right_index,suppression_width,cutoff
4745,suppressed,72547,0.8867409523700767,0.013813623463177532,0.0036887248631108124,0.8780715075355529,238.04201726095906,7.281634095400991,72483,72619,136,0.04332342236806403
4746,suppressed,73183,1.0,0.0065161034431390485,0.004836429400917239,0.9964262762763413,206.02518793872332,22.046623983748677,73129,73241,112,0.04520753865047696
4747,suppressed,73141,1.0,0.011697606195835545,0.009298763275539981,0.9947454108218603,106.97609793320555,9.134586473799036,73099,73188,89,0.08608771240015539
4748,suppressed,73197,1.0,0.005278833451706684,0.004257388169256267,0.9978354941185311,234.37738219976436,28.894082308458355,73141,73257,116,0.03933793880575682
4749,suppressed,73186,1.0,0.009969966317710082,0.008063841650428985,0.995910295453664,123.50320586970888,13.422280578230016,73139,73235,96,0.07448069952114196
4750,suppressed,73165,1.0,0.006726016784240977,0.005119608301185669,0.9956567120490424,194.47907993634095,29.955366861472612,73112,73225,113,0.04768288319372633
4751,suppressed,73148,1.0,0.004130620764118426,0.0030389324131906157,0.9979856262172666,328.400072961632,38.19932847715125,73082,73218,136,0.02844208006964335
4752,suppressed,73182,1.0,0.005112145971254369,0.0040199166904300795,0.9971738492606171,248.0583370383062,32.06076474686165,73122,73247,125,0.037271479494695
4753,suppressed,73104,1.0,0.006789113780521681,0.004375096543876778,0.9963787072493058,227.73867896556484,22.11203936350725,73044,73170,126,0.041789886131535905
4754,suppressed,73117,1.0,0.008980782953894442,0.006149925553252462,0.9957997954610441,161.92062600406658,14.32978357250811,73065,73174,109,0.058180187379914136
4755,suppressed,73097,1.0,0.008236762053379029,0.005774869065644994,0.9954599748632132,172.3779298798752,25.150390894873063,73043,73152,109,0.05443571457853898
4756,suppressed,73182,1.0,0.004422728498335238,0.0035826169306532826,0.9977297628473464,278.49189074909344,33.75655180544662,73120,73246,126,0.0330836639435615
4757,suppressed,73177,1.0,0.007531897100840014,0.004997726269098756,0.9959078706464873,199.27219239762007,22.50044614688138,73122,73236,114,0.047513707253630064
4758,suppressed,73184,1.0,0.0053683138598436915,0.003917807734563612,0.9972992285527406,254.5554289850381,29.879408554169405,73127,73246,119,0.036710775736352584
4759,suppressed,73170,1.0,0.0071702818553907,0.005257872337001207,0.9961980574961776,189.46790519914995,22.74981632230073,73116,73230,114,0.04923326055140036
4760,suppressed,73203,1.0,0.005994959532501782,0.005004110067981098,0.9976010614664415,199.35633867240702,25.817957456977766,73148,73260,112,0.046027840076350565
4761,suppressed,73189,1.0,0.0104024171566396,0.007676931755772267,0.9947472387441871,129.57614713667851,11.894013698348209,73144,73237,93,0.07181787120281774
4762,suppressed,73142,1.0,0.00545332091628639,0.003849482187464071,0.9971440040538336,259.03328174918084,28.99862573691279,73078,73205,127,0.03624917841599896
4763,suppressed,73180,1.0,0.005616273084254802,0.004505336446602287,0.9975994907089454,221.42619148039168,27.881367286628894,73124,73240,116,0.0416589646570731
4764,suppressed,73146,1.0,0.005915769032791426,0.004069791380878785,0.9969005413812957,244.95126361146214,25.247731048171833,73085,73211,126,0.0384741000798217
4765,suppressed,73175,1.0,0.009609410514974739,0.00720298408308504,0.995482464760878,138.20417389212287,18.416489605579876,73126,73226,100,0.06723328317965506
4766,suppressed,73158,1.0,0.005368722642850227,0.0038780707505467805,0.9967396248568139,257.01945347858356,29.253332440220486,73098,73220,122,0.03639328864722447
4767,suppressed,73136,1.0,0.005788671707214742,0.004699778037428443,0.997475591375235,212.23887243854165,30.147357246188918,73080,73198,118,0.043386896006642285
4768,suppressed,73179,1.0,0.007242833103339105,0.005251417900570196,0.9962997398686108,189.72014010928993,22.343839466981724,73125,73237,112,0.049254176307900674
4769,suppressed,73190,1.0,0.00589373899264262,0.003951968916803304,0.997271367564583,252.347978579564,28.488150815280814,73131,73256,125,0.03750949032706906
4770,suppressed,73159,1.0,0.004448772075074714,0.0031882569128969455,0.9973060997621312,312.8060651975343,35.92046614151143,73094,73228,134,0.029954827378250278
4771,suppressed,73175,1.0,0.006742556645243569,0.005240453590054465,0.9966034038629114,190.17502716831683,24.138263419926666,73120,73234,114,0.04866618536567929
4772,suppressed,72534,1.0,0.015144881490316243,0.005168344071660225,0.9911877392292134,191.78052495851242,16.133407234812402,72478,72596,118,0.05649163406359804
4773,suppressed,73193,1.0,0.006138140144482641,0.004474859508018756,0.9972503512237189,222.85623703642295,24.478902469011576,73138,73251,113,0.04193701620863269
4774,suppressed,73176,1.0,0.006267605136867009,0.004275723658141674,0.9966875518043268,233.10382791143934,28.117116965439763,73116,73242,126,0.0404733944020004
4775,suppressed,72468,0.7983583837375984,0.03452924089312691,0.010427510696261487,0.7748068324259393,74.30410334690197,7.063192918084493,72432,72508,76,0.1179493264632188
4776,suppressed,73114,1.0,0.005920282010793691,0.004254860481738642,0.997306991727864,234.3924074615813,27.730162295275683,73056,73176,120,0.03995916586470283
4777,suppressed,73180,1.0,0.0058397318756096585,0.004295042068825101,0.9974008896442194,232.22144827956393,31.58546810684212,73124,73243,119,0.04020006842621046
4778,suppressed,73139,1.0,0.011190760224311846,0.008204454159705332,0.9939850626202174,121.15188204743616,22.014590654227877,73096,73185,89,0.0768263935019545
4779,suppressed,72527,1.0,0.010871391796131114,0.003236178721512155,0.9923453039280822,306.64106939816764,20.00775500610829,72458,72599,141,0.03676082156822835
4780,suppressed,73175,1.0,0.00726505491667905,0.004779759449134964,0.9951360657452195,208.19793889948127,26.765851307703752,73115,73241,126,0.045503130509758766
4781,suppressed,73155,1.0,0.006162874385538116,0.00492876843304482,0.9960633667945942,202.09173555740804,36.517211529591115,73102,73212,110,0.04559302184989667
4782,suppressed,73160,1.0,0.007529895792230797,0.005942424526308417,0.9962031943953413,167.6425489267775,20.843970342403725,73111,73213,102,0.05506929200269813
4783,suppressed,72554,1.0,0.008100581808502882,0.0027191883297366833,0.9954686192403366,366.0903543730398,21.350085477365703,72488,72637,149,0.029854088446396348
4784,suppressed,73133,1.0,0.008513011243995967,0.005693829079658888,0.9952502088620121,174.79453544145315,20.046049961014923,73078,73192,114,0.05406364388126707
4785,suppressed,73174,1.0,0.007934970115879009,0.005522146014533244,0.9959395892985834,180.35372238934985,22.11267017691731,73123,73230,107,0.05211213823214496
